time_s,desired_velocity,command_velocity,motion_debt,pass_through,state,filtered_velocity_magnitude,filtered_velocity,real_velocity,position
1783217148.653664,0.698100,0.000000,0.000000,0,0,0.069810,0.069810,0.000000,0.000000
1783217148.654664,0.698100,0.000000,0.000698,0,0,0.132639,0.132639,0.000000,0.000000
1783217148.655664,0.698100,0.000000,0.001396,0,0,0.189185,0.189185,0.000000,0.000000
1783217148.656664,0.698100,0.698100,0.000000,1,0,0.240077,0.240077,0.024636,0.000025
1783217148.657664,0.698100,0.698100,0.000000,1,0,0.285879,0.285879,0.048305,0.000073
1783217148.658664,0.698100,0.698100,0.000000,1,0,0.327101,0.327101,0.071047,0.000144
1783217148.659664,0.698100,0.698100,0.000000,1,0,0.364201,0.364201,0.092897,0.000237
1783217148.660664,0.698100,0.698100,0.000000,1,0,0.397591,0.397591,0.113890,0.000351
1783217148.661664,0.698100,0.698100,0.000000,1,0,0.427642,0.427642,0.134060,0.000485
1783217148.662664,0.698100,0.698100,0.000000,1,0,0.454688,0.454688,0.153439,0.000638
1783217148.663664,0.698100,0.698100,0.000000,1,0,0.479029,0.479029,0.172058,0.000810
1783217148.664664,0.698100,0.698100,0.000000,1,0,0.500936,0.500936,0.189947,0.001000
1783217148.665664,0.698100,0.698100,0.000000,1,0,0.520652,0.520652,0.207135,0.001207
1783217148.666664,0.698100,0.698100,0.000000,1,0,0.538397,0.538397,0.223648,0.001431
1783217148.667664,0.698100,0.698100,0.000000,1,0,0.554367,0.554367,0.239515,0.001671
1783217148.668664,0.698100,0.698100,0.000000,1,0,0.568741,0.568741,0.254759,0.001925
1783217148.669664,0.698100,0.698100,0.000000,1,0,0.581676,0.581676,0.269405,0.002195
1783217148.670664,0.698100,0.698100,0.000000,1,0,0.593319,0.593319,0.283477,0.002478
1783217148.671664,0.698100,0.698100,0.000000,1,0,0.603797,0.603797,0.296997,0.002775
1783217148.672664,0.698100,0.698100,0.000000,1,0,0.613227,0.613227,0.309988,0.003085
